full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used,best_arr_time,tof,arr_vel,dep_vel,period
C/2007 T1 (McNaught),1002479,2454437.5,0.9997597349154286,4030.976592616314,0.968502931930384,117.6424445495776,111.433283685437,233.7551315159975,359.9999632991288,2454447.029886204,4.7383e-06,79.498,7.0988e-07,6.1413e-05,0.00011488,6.1587e-05,0.00012008,1.0853e-06,184,2007-10-09,2008-04-10,321.0,2007-10-21 00:00:00.000,249.4949494949495,53.76782662113629,0.8836881869995562,2.559371057896012e+16
C/2008 A1 (McNaught),1002491,2454735.5,1.000230471730961,-4655.992023392321,1.073074540971431,82.54917530843085,277.8836993312148,348.4732575918569,-9.692929957973991e-06,2454738.624419517,4.1179e-06,83.187,8.3358e-07,1.9616e-05,3.7646e-05,1.8222e-05,3.0531e-05,2.5979e-07,636,2008-01-10,2009-10-07,906.0,2008-10-05 00:00:00.000,112.12121212121212,46.0965768991037,0.305867233300899,
C/2009 G1 (STEREO),1003020,2454960.5,0.9976784818454304,486.2085688014063,1.128742019379714,108.3102563579814,120.6349939093651,175.4440802487743,0.00206796600125144,2454938.00566114,7.1382e-05,14.957,1.7149e-05,0.00018892,0.00068696,0.0024671,0.0021135,9.5619e-05,113,2009-04-09,2009-07-31,119.0,2009-05-13 00:00:00.000,201.010101010101,54.13995176029767,0.8746324566713093,1072140626020699.9
C/2011 Q4 (SWAN),1003149,2455870.5,0.974158227443668,43.03990425896251,1.112227416706415,147.8430700500252,252.0857091205893,1.880850387483179,0.1567846245755487,2455825.5834551416,5.4892e-06,0.0093233,5.5401e-06,4.3187e-05,0.00027586,0.00015884,0.00018304,5.1473e-05,204,2011-09-04,2012-03-26,168.0,2011-11-04 00:00:00.000,358.5858585858586,65.4501556876219,1.1419888588296327,28237405141092.336
C/2012 K1 (PANSTARRS),1003190,2456697.5,1.000152915493971,-6896.600670785898,1.054597098294,142.4282581726916,317.7376491689354,203.1066008825931,-0.00034359221106059,2456897.1603630064,8.3691e-07,37.74,9.6333e-07,4.9087e-06,1.7963e-05,6.6937e-05,3.7092e-05,2.8203e-06,1546,2012-05-14,2016-08-07,7829.0,2014-01-22 00:00:00.000,172.72727272727275,64.68041721699144,0.5778462613784405,
C/2012 K5 (LINEAR),1003192,2456215.5,0.9985264981019604,774.8961847263805,1.141810998978076,92.8480254183311,279.0390212042847,139.289758710655,359.9979581320962,2456260.187787429,7.3916e-07,0.38873,7.92e-08,8.7907e-06,3.1043e-06,9.7573e-06,1.3424e-05,1.5361e-06,343,2012-05-06,2013-04-14,4281.0,2012-11-23 00:00:00.000,196.96969696969697,45.115320715361214,1.6651362375123457,2157163801857501.2
C/2013 G5 (Catalina),1003246,2456405.5,0.9997146123853236,3254.937232676171,0.9289187727550068,40.61347633650212,144.2821603657757,165.6672851179409,359.999302039838,2456537.0044617797,6.6096e-05,753.78,2.3949e-05,0.0030465,0.0064419,0.0025931,0.010761,0.00024249,52,2013-04-07,2013-05-29,114.0,2013-05-02 00:00:00.000,205.05050505050505,28.71802021871001,1.1613140508920559,1.8570849368366196e+16
C/2013 K1 (Christensen),1003260,2456443.5,0.9881156749766992,79.79109493505285,0.9482633061732122,42.34152090569845,125.9087092805298,171.3325625204554,0.00115258687556344,2456442.6665083887,7.2799e-05,0.48942,8.2073e-06,0.0007069,0.0013599,0.00033536,0.00028761,1.0909e-05,50,2013-05-18,2013-07-07,52.0,2013-06-06 00:00:00.000,180.80808080808083,27.87351659609974,1.5570683743223999,71277010660007.92
C/2013 UQ4 (Catalina),1003316,2456850.5,0.9821535430641832,60.57084268670604,1.080974935574438,145.2585720800541,317.6623965796692,23.31216387401101,0.01262919268353405,2456844.45958275,6.9444e-07,0.0023564,8.0883e-08,1.171e-05,1.6781e-05,2.1531e-05,1.4033e-05,7.351e-07,862,2013-10-23,2016-03-03,1853.0,2014-06-23 00:00:00.000,334.34343434343435,63.810785137771475,0.9174186010403262,47142570997879.9
C/2015 E61-B (PANSTARRS),1003535,2457937.5,1.000016466064013,-63413.76562230677,1.044175124039388,6.35127665373667,235.2577873438787,68.31621822963767,3.336867405451742e-06,2457883.435749016,0.00037038,1426400.0,7.7075e-05,0.00032437,0.0022051,0.011343,0.0054445,0.00011259,189,2017-06-11,2017-12-17,50.0,2017-05-27 00:00:00.000,322.22222222222223,15.065660150670563,1.9881010286437826,
C/2016 E2 (Kowalski),1003457,2457466.5,1.000226429023678,-4749.316615651506,1.075383124419562,135.9971564028321,186.6651573345939,321.9715087810212,0.00012442123553937,2457425.182206543,0.00048652,10204.0,8.4828e-05,0.0030674,0.001178,0.014941,0.01442,0.00040095,64,2016-03-06,2016-05-09,108.0,2016-04-20 00:00:00.000,156.56565656565658,58.98142813294694,1.1253513808921392,
